姓名:Student1, 國文:96, 英文:69, 數學:77, 歷史:84, 健康:99
姓名:Student2, 國文:97, 英文:75, 數學:93, 歷史:92, 健康:61
姓名:Student3, 國文:72, 英文:64, 數學:68, 歷史:100, 健康:82
姓名:Student4, 國文:72, 英文:68, 數學:64, 歷史:94, 健康:72
姓名:Student5, 國文:73, 英文:73, 數學:85, 歷史:77, 健康:93
姓名:Student6, 國文:61, 英文:75, 數學:77, 歷史:86, 健康:67
姓名:Student7, 國文:62, 英文:94, 數學:72, 歷史:98, 健康:88
姓名:Student8, 國文:83, 英文:67, 數學:65, 歷史:90, 健康:71
姓名:Student9, 國文:71, 英文:66, 數學:87, 歷史:77, 健康:65
姓名:Student10, 國文:62, 英文:98, 數學:89, 歷史:100, 健康:83
姓名:Student11, 國文:92, 英文:70, 數學:77, 歷史:88, 健康:78
姓名:Student12, 國文:98, 英文:94, 數學:62, 歷史:86, 健康:68
姓名:Student13, 國文:61, 英文:86, 數學:85, 歷史:70, 健康:94
姓名:Student14, 國文:88, 英文:82, 數學:78, 歷史:65, 健康:80
姓名:Student15, 國文:89, 英文:66, 數學:68, 歷史:90, 健康:91
姓名:Student16, 國文:64, 英文:91, 數學:94, 歷史:99, 健康:67
姓名:Student17, 國文:64, 英文:66, 數學:61, 歷史:94, 健康:75
姓名:Student18, 國文:85, 英文:93, 數學:78, 歷史:81, 健康:66
姓名:Student19, 國文:98, 英文:60, 數學:66, 歷史:90, 健康:90
姓名:Student20, 國文:87, 英文:82, 數學:64, 歷史:84, 健康:100
姓名:Student21, 國文:87, 英文:91, 數學:90, 歷史:92, 健康:68
姓名:Student22, 國文:64, 英文:89, 數學:60, 歷史:89, 健康:81
姓名:Student23, 國文:76, 英文:60, 數學:83, 歷史:73, 健康:66
姓名:Student24, 國文:74, 英文:64, 數學:67, 歷史:60, 健康:71
姓名:Student25, 國文:68, 英文:91, 數學:93, 歷史:61, 健康:68
姓名:Student26, 國文:91, 英文:83, 數學:68, 歷史:63, 健康:90
姓名:Student27, 國文:73, 英文:74, 數學:100, 歷史:86, 健康:61
姓名:Student28, 國文:88, 英文:65, 數學:69, 歷史:99, 健康:91
姓名:Student29, 國文:69, 英文:89, 數學:98, 歷史:92, 健康:90
姓名:Student30, 國文:87, 英文:93, 數學:90, 歷史:92, 健康:72
姓名:Student31, 國文:80, 英文:100, 數學:100, 歷史:81, 健康:70
姓名:Student32, 國文:97, 英文:90, 數學:65, 歷史:99, 健康:87
姓名:Student33, 國文:93, 英文:68, 數學:90, 歷史:97, 健康:71
姓名:Student34, 國文:77, 英文:61, 數學:63, 歷史:100, 健康:83
姓名:Student35, 國文:72, 英文:68, 數學:84, 歷史:88, 健康:69
姓名:Student36, 國文:70, 英文:85, 數學:99, 歷史:60, 健康:66
姓名:Student37, 國文:96, 英文:66, 數學:93, 歷史:84, 健康:73
姓名:Student38, 國文:62, 英文:94, 數學:95, 歷史:85, 健康:95
姓名:Student39, 國文:73, 英文:61, 數學:72, 歷史:90, 健康:96
姓名:Student40, 國文:94, 英文:92, 數學:77, 歷史:71, 健康:89
姓名:Student41, 國文:87, 英文:63, 數學:68, 歷史:61, 健康:86
姓名:Student42, 國文:67, 英文:73, 數學:76, 歷史:88, 健康:69
姓名:Student43, 國文:66, 英文:96, 數學:87, 歷史:86, 健康:82
姓名:Student44, 國文:61, 英文:82, 數學:60, 歷史:99, 健康:79
姓名:Student45, 國文:73, 英文:89, 數學:80, 歷史:90, 健康:80
姓名:Student46, 國文:61, 英文:96, 數學:73, 歷史:94, 健康:90
姓名:Student47, 國文:93, 英文:76, 數學:90, 歷史:94, 健康:76
姓名:Student48, 國文:89, 英文:63, 數學:72, 歷史:71, 健康:81
姓名:Student49, 國文:81, 英文:78, 數學:80, 歷史:92, 健康:85
姓名:Student50, 國文:63, 英文:100, 數學:77, 歷史:91, 健康:78
